company,candidate_product_or_family,source_count,source_types,source_domains,confidence_mix,sample_url,review_status
Gold Collagen,Gold Collagen,139,official_website_master; product_specification_evidence,beautyethic.com; faq.gold-collagen.com; gold-collagen.com; gold-collagen.in,official_site_spec_candidate:90; official_domain_candidate:24; official_search_excerpt_spec_candidate:24; company_official_search_candidate:1,https://beautyethic.com/ar/pages/gold-collagen,candidate
Novartis,Cosentyx,116,official_website_master; product_specification_evidence,accessdata.fda.gov; cosentyx.com; dhpp.hpfb-dgpsa.ca; ec.europa.eu; ema.europa.eu; novartis.com; novartis.us; pro.novartis.com; prod.pro.novartis.com,official_site_spec_candidate:57; official_search_excerpt_spec_candidate:40; official_domain_candidate:11; product_official_search_candidate:4,https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/761349Orig1s007lbl.pdf,candidate
Melsmon Pharmaceutical,Melsmon,97,official_website_master; product_specification_evidence,abchealthonline.com; aesthacares.com; bellepharm.com; bio-japan.net; eleglobals.com; ellepharm.com; fillersfairy.com; haruskin.com; image.packageinsert.jp; isla-med.com; korean-surgery.com; koreanaesthetic.com; luxbio.net; medifella.com; medixlife.com; melsmon.co.kr; melsmon.ru; mjsmedicals.com; skincareplaza.com; slmedibeauty.com,official_search_excerpt_spec_candidate:61; official_site_spec_candidate:13; company_official_search_candidate:11; product_official_search_candidate:8,https://abchealthonline.com/6592280-melsmon-instructions-for-use-of-the-drug-reviews-price-analogues,candidate
Ubio Biotechnology,Olidia,83,official_website_master; product_specification_evidence,bionicsgroup.com; bioresus.com; e-biostimulators.com; ec21.com; fusionfills.com; ibeautymachine.com; luxbio.net; medifella.com; mjsmedicals.com; pllakorea.com; prplifescience.co.kr; teleta.co.uk,official_search_excerpt_spec_candidate:58; official_site_spec_candidate:13; product_official_search_candidate:9; secondary_source_crosscheck:3,https://www.bionicsgroup.com/olidia-collagen-stimulator/,candidate
Biocyte,Collagen Express,77,official_website_master; product_specification_evidence,biocyte.com; biocyte.com.vn; cosmetis.com; duoctaman.com; farmaciadaliga.pt; france-health.com; mypharma.vn; pharmashopdiscount.com; soin-et-nature.com,official_site_spec_candidate:36; official_search_excerpt_spec_candidate:27; official_domain_candidate:7; secondary_source_crosscheck:5,https://www.biocyte.com/products/beauty-box,candidate
Alta Care,Altaflora,66,official_website_master; product_specification_evidence,altacarelaboratoires.com; igpharmacy.com; megateksa.com; shop.altacare.com; yumpu.com,official_search_excerpt_spec_candidate:46; official_site_spec_candidate:9; official_domain_candidate:8; brand_official_search_candidate:1,https://www.altacarelaboratoires.com/collections,candidate
Biocyte,Keratine Forte,63,official_website_master; product_specification_evidence,bioax.fr; biocyte.com; boxofcolor.com; skinlovers.com,official_site_spec_candidate:41; official_domain_candidate:11; official_search_excerpt_spec_candidate:8; secondary_source_crosscheck:2,https://bioax.fr/en/wellness/22671keratine-forte-full-spectrum-120-gelules-biocyte-3770008244078.html,candidate
Kylane,MaiLi / Kysense,63,official_website_master; product_specification_evidence,aestheticmed.co.uk; bestaestheticsbenelux.com; circaskin.com; filler-france.com; isrctn.com; kylane.com; maili.com; mdpi.com; pillolastore.com; sinclair.com,official_search_excerpt_spec_candidate:38; official_site_spec_candidate:11; product_official_search_candidate:8; product_official_domain_candidate:4,https://aestheticmed.co.uk/kysense-ha-dermal-filler-brand,candidate
Galderma,Mirvaso,60,official_website_master; product_specification_evidence,accessdata.fda.gov; dailymed.nlm.nih.gov; drugs.com; ec.europa.eu; ema.europa.eu; galderma.com; hpra.ie; medicines.org.uk; tga.gov.au,official_search_excerpt_spec_candidate:26; official_site_spec_candidate:22; product_official_search_candidate:10; brand_official_search_candidate:1,https://www.accessdata.fda.gov/drugsatfda_docs/label/2013/204708lbl.pdf,candidate
Japan Bio Products / JBP,Laennec / Curacen,59,official_website_master; product_specification_evidence,jbp.placenta.co.jp; jbpcn.placenta.co.jp; jbpglobal.placenta.co.jp; jbpglobalusa.com,official_search_excerpt_spec_candidate:40; official_site_spec_candidate:9; product_official_search_candidate:7; secondary_source_crosscheck:1,https://jbp.placenta.co.jp/about/,candidate
OEO Firenze,OEO,56,official_website_master; product_specification_evidence,oeofirenze.com; oeofirenze.it,official_search_excerpt_spec_candidate:27; official_domain_candidate:16; official_site_spec_candidate:13,https://oeofirenze.com/,candidate
Revance Therapeutics,SkinPen,55,official_website_master; product_specification_evidence,accessdata.fda.gov; accessgudid.nlm.nih.gov; bellusmedical.com; crownaesthetics.com; crownlaboratories.com; prnewswire.com; revance.com; skinpen.com; skinpenuk.com,official_search_excerpt_spec_candidate:25; official_site_spec_candidate:12; product_official_domain_candidate:7; product_official_search_candidate:6,https://www.accessdata.fda.gov/cdrh_docs/pdf20/K202243.pdf,candidate
Osteopore,Osteopore,54,official_website_master; product_specification_evidence,accessgudid.nlm.nih.gov; certipedia.com; osteopore.com; tga.gov.au,official_search_excerpt_spec_candidate:34; official_domain_candidate:16; product_official_search_candidate:2; company_official_search_candidate:1,https://accessgudid.nlm.nih.gov/devices/08885013200119,candidate
Bayer,Priorin,52,official_website_master; product_specification_evidence,arzneimittel-datenbank.de; bayer.com; coalharbourpharmacy.com; eliveragroup.co.uk; eliveragroup.com; priorin.de; priorin.me; priorin.pk; priorincapsules.com; productservice.gesund.de; salamatgardi.com; saudionlinecom.com; shop.maxmo.de,official_search_excerpt_spec_candidate:31; official_site_spec_candidate:7; product_official_search_candidate:4; product_official_domain_candidate:4,https://www.arzneimittel-datenbank.de/produkt/priorin-120-st-04002065,candidate
Galderma,Soolantra,52,official_website_master; product_specification_evidence,accessdata.fda.gov; dailymed.nlm.nih.gov; galderma.com; galdermacc.com; hpra.ie; soolantra.com; tga.gov.au; verification.fda.gov.ph,official_search_excerpt_spec_candidate:35; official_site_spec_candidate:6; product_official_search_candidate:5; official_domain_candidate:4,https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/206255s005s009lbl.pdf,candidate
Skymedic,Skymedic,51,official_website_master; product_specification_evidence,old.skymedic.eu; shop.skymedic.eu; skymedic-uk-2.myshopify.com; skymedic.eu; skymedicuk.co.uk; skymedicusa.com,official_domain_candidate:24; official_search_excerpt_spec_candidate:17; official_site_spec_candidate:10,https://old.skymedic.eu/es-pt/,candidate
Vampire Facial,Vampire,46,official_website_master; product_specification_evidence,aestheticcg.com; bio-prf.com; buffaloplasticsurgery.com; cellularmedicineassociation.org; irp.cdn-website.com; luvomedical.com; ovomedispa.com; skinlabmedical.com; store.laserspagroup.com; uk.acegroup.online; vampirefacelift.com; vampirefacial.com,official_site_spec_candidate:21; product_official_search_candidate:7; official_domain_candidate:7; official_search_excerpt_spec_candidate:6,https://aestheticcg.com/vampire-facial/,candidate
Galderma,Epiduo / Epiduo Forte,44,official_website_master; product_specification_evidence,accessdata.fda.gov; drugs.com; galderma.com; tga.gov.au; verification.fda.gov.ph,official_search_excerpt_spec_candidate:26; official_site_spec_candidate:10; product_official_search_candidate:5; official_domain_candidate:3,https://www.accessdata.fda.gov/drugsatfda_docs/label/2015/207917Orig1s000lbl.pdf,candidate
Eltech,K-Laser,42,official_website_master; product_specification_evidence,bimedis.com; dermat.be; fda.report; indiba.com; it.bimedis.com; k-laser.com.au; k-laser.eu; k-laser.it; k-laserasia.com; k-laserbaltic.com; klaser.es; klaser.indiba.com; klaseruk.co.uk; resources.k-laser.com.au,official_search_excerpt_spec_candidate:26; product_official_domain_candidate:10; company_official_search_candidate:3; secondary_source_crosscheck:1,https://bimedis.com/eltech-k-laser-m7735,candidate
Kylane,MaiLi,40,official_website_master; product_specification_evidence,filler-france.com; isrctn.com; kylane.com; maili.com; mdpi.com; pillolastore.com; sinclair.com,official_search_excerpt_spec_candidate:30; product_official_domain_candidate:4; product_official_search_candidate:3; secondary_source_crosscheck:1,https://filler-france.com/en/home/380-maili-precise-4x1ml.html,candidate
Galderma,Aklief,36,official_website_master; product_specification_evidence,accessdata.fda.gov; aklief.com; dailymed.nlm.nih.gov; dhpp.hpfb-dgpsa.ca; fda.gov; galderma.com; hpr-rps.hres.ca; swissmedic.ch; tga.gov.au,official_site_spec_candidate:11; official_search_excerpt_spec_candidate:8; product_official_search_candidate:6; product_official_domain_candidate:5,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2019/211527Orig1s000OtherR.pdf,candidate
Lemi,Lemi,31,official_website_master; product_specification_evidence,archello.com; imdad.com; infiniummedical.com; lemimd.com; lemispa.com; pdf.archiexpo.com; pdf.medicalexpo.com,official_domain_candidate:12; official_search_excerpt_spec_candidate:9; company_official_search_candidate:4; official_site_spec_candidate:3,https://archello.com/product/64782/attachments/brochures,candidate
Collagen Matrix / Regenity Biosciences,NeuroMatrix / NeuroMend,27,official_website_master; product_specification_evidence,accessgudid.nlm.nih.gov; biospace.com; collagenmatrix.com; premera.com; prnewswire.com; regenity.com; sec.gov; stryker.com,official_search_excerpt_spec_candidate:9; product_official_search_candidate:7; official_domain_candidate:5; official_site_spec_candidate:4,https://accessgudid.nlm.nih.gov/devices/00813954020174,candidate
London Regenerative Institute,LRI,27,official_website_master; product_specification_evidence,artislondon.com; cpduk.co.uk; demo.londonregenerative.co.uk; london-regenerative.com; londonregenerative.co.uk,official_site_spec_candidate:14; official_domain_candidate:12; secondary_source_crosscheck:1,https://www.artislondon.com/shop/p/regenerative-complex,candidate
BTL,EXOMIND,25,official_website_master; product_specification_evidence,app.qwoted.com; bodybybtl.com; btlaesthetics.com; btlaesthetics.pl; btlexomind.com; consultingroom.com; fda.report; medstarmedia.com; newswire.ca; prnewswire.co.uk; prnewswire.com; thedevicepulse.com,official_search_excerpt_spec_candidate:9; secondary_source_crosscheck:8; product_official_search_candidate:5; official_site_spec_candidate:2,https://app.qwoted.com/products/exomind,candidate
BioElectronics,ActiPatch,22,official_website_master; product_specification_evidence,accessdata.fda.gov; actipatch.com; actipatch.se; bielcorp.com; dmd-browser.nhsbsa.nhs.uk; rdtc.nhs.uk,product_official_search_candidate:6; official_search_excerpt_spec_candidate:5; company_official_search_candidate:4; secondary_source_crosscheck:3,https://www.accessdata.fda.gov/cdrh_docs/pdf19/K192234.pdf,candidate
Skinedit Nutricosmetics,KeraFactor,21,official_website_master; product_specification_evidence,aestheticmedicalpractitioner.com.au; kerafactor.eu; mykerafactor.com; prnewswire.com; shop.mykerafactor.com; skinfo.com; xcitetech.com; youngdermed.com,official_search_excerpt_spec_candidate:7; product_official_domain_candidate:6; product_official_search_candidate:3; secondary_source_crosscheck:3,https://aestheticmedicalpractitioner.com.au/directory/products/kerafactor/,candidate
Altis Biologics,Altis OBM,17,official_website_master; product_specification_evidence,altisbiologics.com; biosa.org.za; bizcommunity.africa; nature.com; ortho-centric.com; pharmaboardroom.com; theinnovationhub.com,product_official_search_candidate:5; official_site_spec_candidate:5; company_official_search_candidate:4; official_domain_candidate:2,https://altisbiologics.com/,candidate
Next Biosciences,Netcells,16,official_website_master; product_specification_evidence,nextbio.co.za; nextmdlink.com; parentsguidecordblood.org; sascrscongress.co.za,official_domain_candidate:8; official_site_spec_candidate:4; official_search_excerpt_spec_candidate:2; product_official_search_candidate:1,https://nextbio.co.za/Products/Patient,candidate
Nunii Laboratoire,Nunii,15,official_website_master; product_specification_evidence,anti-age-magazine.com; avanaclinic.com; cosmeticobs.com; dermafocus.co.uk; en.anti-age-magazine.com; entreprises.lefigaro.fr; jesenslebonheur.fr; mvseatelier.com; myskinessentia.com; nunii-laboratoire.com.siteindices.com; toaclinic.co.uk,secondary_source_crosscheck:5; company_official_search_candidate:3; official_site_spec_candidate:3; product_official_search_candidate:2,https://www.anti-age-magazine.com/nunii-laboratoire/,candidate
Collagen Matrix / Regenity Biosciences,MatrixDerm / MatrixMem,12,official_website_master,accessdata.fda.gov; collagenmatrix.com; fda.report; regenity.com; sec.gov; straumann.com,official_domain_candidate:8; product_official_search_candidate:2; company_official_search_candidate:1; secondary_source_crosscheck:1,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfPMN/pmn.cfm?ID=K100156,candidate
Orbio Innovations,Orbio,12,official_website_master; product_specification_evidence,biopsybell.com; nobles.com; orbioinnovations.com; parametricsmedical.com; pdf.directindustry.com; tennantco.com,official_domain_candidate:5; company_official_search_candidate:3; official_search_excerpt_spec_candidate:2; secondary_source_crosscheck:1,https://www.biopsybell.com/products/ortho-biologics/orthoplasty-subchondral-bone-plasty/,candidate
