seed_record_id,product_id,company,brand,standard_product_name,score,source_url,indication
REC_0018,prod_44cc33ddc1de,Agnes Medical,Agnes RF,绝缘微针射频,87,https://lat.agnesmedical.com/product/agnes-s/,Indicated for use in dermatological and general surgical procedures for electrocoagulation and homeostasis.; Enquire about this FDA Approved dermatological device.
REC_0029,prod_010fb5238182,Alma Lasers,Alma TED,Trans-Epidermal Drug Delivery,87,https://almated.medelite.ca/en/,"Indications for the use of Alma TED?; Alma TED is indicated for the treatment of androgenetic alopecia, diffuse hair loss, and hair regrowth stimulation."
REC_0119,prod_e56360e81442,Sinclair Pharma,Cocoon Medical,Primelase,87,https://sinclair.com/brands/energy-devices/primelase-excellence/,"Is intended for the medical treatment of pseudofolliculitis and hirsutism.; Primelase® Excellence is also intended for the treatment of vascular lesions, pigmentary lesions and acne vulgaris or follicular treatments."
REC_0128,prod_297bd24f7f45,Cocoon Medical,Cooltech Define / Cooltech,Cryolipolysis,87,https://cooltechdefine.com/technology/applicators/,Indicated for medium areas and high laxity tissue.; Tiny Curved HP.
REC_0134,prod_aadef274ea7b,Deleo,CRISTAL Fit,HI-EMS,87,https://www.cristal-bodycontouring.com/en/,"Indicated for treatment of sagging skin on the body and face, as well as for the treatment of cellulite – especially when treatment with the DIAMOND applicator is not painless due to the composition of the connective tissue."
REC_0142,prod_f516b06922b2,Body Health,Cryo-Radiofrequency (Refreeze),Cryo-Frequency,87,https://bodyhealth.com.ar/en/refreeze-en/,"Indicated for; addressing generalized adiposity, cellulite, and flaccidity."
REC_0360,prod_16f7a0517407,Jeisys Medical,Jeisys,LinearZ (Ultracel [zi:]),87,https://jeisyseurope.com/,Intended for use in dermatologic and electronic surgical procedures for electrocoagulation and hemostasis.; ​POTENZA is a registered trademark of Jeisys Medical Inc.
REC_0361,prod_954fd28ff315,Jeisys Medical,Jeisys,Density,87,https://jeisyseurope.com/,Intended for use in dermatologic and electronic surgical procedures for electrocoagulation and hemostasis.; ​POTENZA is a registered trademark of Jeisys Medical Inc.
REC_0418,prod_98e1ab884d55,Lutronic / Cynosure Lutronic,Lutronic,LaseMD Ultra,87,https://www.cynosure.com/product/eco2-3d/,"Intended for distribution in the US only.; The eCO2 3D Laser System with fractional handpieces is indicated for use in dermatological procedures requiring ablation (removal), resurfacing and coagulation of soft tissue."
REC_0419,prod_19403421ebcf,Lutronic / Cynosure Lutronic,Lutronic,Genius,87,https://www.cynosure.com/product/eco2-3d/,"Intended for distribution in the US only.; The eCO2 3D Laser System with fractional handpieces is indicated for use in dermatological procedures requiring ablation (removal), resurfacing and coagulation of soft tissue."
REC_0420,prod_89333a6ecb2d,Lutronic / Cynosure Lutronic,Lutronic,Hollywood Spectra,87,https://www.cynosure.com/product/eco2-3d/,"Intended for distribution in the US only.; The eCO2 3D Laser System with fractional handpieces is indicated for use in dermatological procedures requiring ablation (removal), resurfacing and coagulation of soft tissue."
REC_0611,prod_b77b658280b7,Prollenium Medical,Revanesse,Revanesse Versa / Lips,87,https://revanesse.com/ifu,Approved for use in the U.S.; by the Food and Drug Administration (FDA) to correct the appearance of facial wrinkles and creases (nasolabial folds).
REC_0828,prod_9de0668e45ad,Cynosure,Smartlipo Triplex,Triple-Wavelength Laser Lipolysis,87,https://www.cynosure.com/product/smartlipo-triplex/,"Intended for the surgical incision, excision, vaporization, ablation, and coagulation of soft tissue.; How Smartlipo works."
REC_0855,prod_8def999a07ac,Candela,Vbeam Prima,Dual-Wavelength PDL,87,https://marketing.syneron-candela.com/Vbeam-Prima-Launch-Registration.html,"Indicated for treatment of vascular, pigmented and certain non-pigmented lesions.; Our bestselling Vbeam Perfecta has long been the gold standard and the world's bestselling pulsed-dye laser."
REC_0919,prod_28fde9b0afc2,Venus Concept,Venus Versa Pro,Venus Versa Pro,87,https://www.venus.ai/en-gb/regulatory,"Indicated for treatment of moderate to severe wrinkles and rhytides in Fitzpatrick skin types I-IV.; Venus Epileve™ is licensed by Health Canada and has CE Mark for hair removal, permanent hair reduction (defined as the long-term stable reduction in the number of hairs re-growing when measured at 6, 9 and 12 months after the completion of a treatment regimen), and the treatment of pseudofolliculitis barbae for all Fitzpatrick skin types."
REC_1004,prod_48196660d7e3,Lutronic / Cynosure Lutronic,LaseMD,LaseMD Ultra,87,https://www.cynosure.com/product/ultra/,"Intended for distribution in the US only.; The LaseMD Ultra laser system is indicated for use in dermatological procedures requiring the coagulation of soft tissue, treatment of actinic keratosis, and treatment of benign pigmented lesions such as, but not limited to lentigos (age spots), solar lentigos (sunspots) and ephelides (freckles)."
REC_1011,prod_7a2627f43512,Jeisys Medical,Jeisys,EdgeONE,87,https://jeisyseurope.com/,Intended for use in dermatologic and electronic surgical procedures for electrocoagulation and hemostasis.; ​POTENZA is a registered trademark of Jeisys Medical Inc.
REC_0048,prod_caab8c505c94,Fillmed,Art Filler,Art Filler (Universal/Volume/Lips),62,https://uk.fillmed.com/art-filler/,"INDICATION; Soft lip volume, contour and peri-oral wrinkles."
REC_0053,prod_aee7452328e9,El.En.,Asclepion,QuadroStar PRO,62,https://asclepionuk.com/medical-aesthetic-devices/quadrostar-pro-yellow-aesthetic-laser-system/,"Indications, pigmentation removal, and acne treatment.; How does the Pro Yellow laser work?."
REC_0075,prod_1361974ef901,Body Health,BHS 202 / BHS 156 (HIMFU),HIMFU (Body Contouring),62,https://bodyhealthgroup.es/en/himfu-en/,For the treatment of; localized fat deposits.
REC_0081,prod_8be29b3ce71e,Zepter,Bioptron 2 / Pro 1,Light Therapy (Photobiomodulation),62,https://bioptron.co.nz/products/bioptron-pro1-with-table-stand,"Indications include support for wound healing (including venous leg ulcers, pressure sores, and burns); Certified medical device indications include dermatological disorders and skin problems (including acne, herpes, and psoriasis)."
REC_0126,prod_2f91ca9586c5,A.A.M.S.,Concerto,Mesogun,62,https://medicaldevices-bg.com/therapy-devices/concerto/,"Indications:; ✓ In Cosmetic Medecine – Edematous Fibrosclerotic Panniculopathy, Cellulitis, coadjuvant in localized adiposity treatment, pre and postoperative in skin grafts;."
REC_0221,prod_b1a1ecb4539f,Professional Skin Solutions,Elementrē,Elementrē Dermo Cosmetics,62,https://www.elementre-solutions.com/pages/about-us,"Indications: signs of skin ageing, uneven skin tone and excess pigmentation, congested and oily skin, dry, irritated, and sensitive skin.; With optimal dosages of key actives,."
REC_0485,prod_0b017e1f0144,Energist,NeoGen,NeoGen SPA,62,https://www.neogenplasma.co.uk/about-us/,"Indications, with minimal downtime.; I particularly like being able to treat isolated facial regions or lesions without concerns about demarcation lines."
REC_0656,prod_47e4043a000e,Skinderma Medical,Skinderma,Meso Vials,62,https://mesotherapy-solutions.com/product/skinderma-antiaging-combo-5-x-10ml-vials/,"Indications:; Suitable for all skin types showing signs of aging, dehydration, and loss of elasticity."
REC_0982,prod_6fea695d0ecd,Lumenis,Legend Pro,Legend Pro+,62,https://lumenis.com/aesthetics/products/legend-pro/,Indications include: skin resurfacing and treatment of mild to moderate wrinkles and rhytids.; PB-2010179 Rev A.
