confirm_id,seed_record_id,company,brand,product,decision,target_record_id,note
NEXT-001,REC_1015,Advance Esthetic,Adonyss,CarbonFrax CO2,confirm_keep_supplement_official_indication_regulatory,REC_1015,"Fractional CO2 laser platform for ablative skin resurfacing, wrinkles, acne scars, texture improvement and professional skin rejuvenation."
NEXT-002,REC_1016,Advance Esthetic,Adonyss,DioPulse 808,confirm_keep_supplement_official_indication_regulatory,REC_1016,808 nm diode laser platform for professional hair reduction/removal across treatment areas.
NEXT-003,REC_1017,Advance Esthetic,Adonyss,T-Novation,confirm_keep_supplement_official_indication_regulatory,REC_1017,"Q-switched laser platform for pigment, tattoo, toning and skin-rejuvenation applications."
NEXT-004,REC_1018,Advance Esthetic,Adonyss,OxiPulse,confirm_keep_supplement_official_indication_regulatory,REC_1018,"Professional oxygen-infusion and skin-management treatment for hydration, cleansing and facial rejuvenation."
NEXT-005,REC_1019,Advance Esthetic,Zemits,CoolRestore Elegance,confirm_keep_supplement_official_indication_regulatory,REC_1019,Cryolipolysis/cold body-contouring device for non-invasive localized fat reduction and body shaping.
NEXT-006,REC_1020,Advance Esthetic,Zemits,DermeLuxx,confirm_keep_supplement_official_indication_regulatory,REC_1020,"Hydrodermabrasion and oxygen-infusion skin-management system for cleansing, hydration and medspa facial rejuvenation."
NEXT-007,REC_1021,Advance Esthetic,Zemits,Verstand HD / Pro,confirm_keep_supplement_official_indication_regulatory,REC_1021,"HIFU/LIPUS multi-function platform for lifting, skin tightening and non-invasive body/face contouring applications."
NEXT-008,REC_1022,Advance Esthetic,Zemits,Abigon Pro,confirm_keep_supplement_official_indication_regulatory,REC_1022,"RF/LIPUS professional device for skin tightening, contouring and body-shaping applications."
NEXT-022,REC_0438,ABG Lab LLC,Meso-Eye C71™,Specific Areas,confirm_keep_supplement_official_indication_regulatory,REC_0438,"Meso-Eye C71 is an eye-area mesotherapy product for periorbital concerns such as dark circles, puffiness, microcirculation and fine lines."
NEXT-023,REC_0439,ABG Lab LLC,Meso-Genesis BP3™,Hair Restoration,confirm_keep_supplement_official_indication_regulatory,REC_0439,Meso-Genesis BP3 is a professional hair-restoration mesotherapy product for scalp and follicle revitalization workflows.
NEXT-035,REC_0614,HOYA ConBio,RevLite SI,Q-Switched Nd:YAG,confirm_keep_supplement_official_indication_regulatory,REC_0614,"Q-switched Nd:YAG laser platform for tattoo removal, pigmented-lesion treatment and skin toning/rejuvenation applications."
NEXT-036,REC_SKINTECH_AESTHETIC_DERMAL,Skin Tech,Aesthetic Dermal,Aesthetic Dermal,confirm_keep_supplement_official_indication_regulatory,REC_SKINTECH_AESTHETIC_DERMAL,"Professional aesthetic dermal/mesocare product line for clinic-led skin quality, peels and professional skin-treatment workflows."
NEXT-037,REC_SKINTECH_HAPPY_INTIM,Skin Tech,HAPPY intim,HAPPY intim,confirm_keep_supplement_official_indication_regulatory,REC_SKINTECH_HAPPY_INTIM,"Professional intimate-care aesthetic product line for intimate rejuvenation, skin quality and pigmentation-oriented workflows."
NEXT-038,REC_SKINTECH_REPARESTIM,Skin Tech,Reparestim,Reparestim,confirm_keep_supplement_official_indication_regulatory,REC_SKINTECH_REPARESTIM,"Professional post-procedure/transdermal cocktail product line for skin repair, regeneration support and procedure-adjunct care."
NEXT-009,REC_1054,Aezian,aesPlla,aesPlla PLLA Filler,confirm_keep_supplement_korea_mfds_or_mark_not_public,REC_1054,"PLLA injectable biostimulator/filler retained as a Korean regenerative-aesthetic product line; used for collagen stimulation, wrinkles and volume restoration."
NEXT-010,REC_1051,Meamo Labs,BEAUX,BEAUX Collagen Stimulator (PDLLA/HA),confirm_keep_supplement_korea_mfds_or_mark_not_public,REC_1051,PDLLA/HA collagen stimulator retained as a Korean regenerative injectable product line for collagen stimulation and tissue-volume support.
NEXT-011,REC_1052,Meamo Labs,BEAUY,BEAUY (PLLA 200),confirm_keep_supplement_korea_mfds_or_mark_not_public,REC_1052,PLLA biostimulator retained as a Korean regenerative injectable line for collagen stimulation and skin/volume improvement.
NEXT-012,REC_1053,USCAREPHARM,ERBELLA,ERBELLA PLA PLUS AQ / EPI,confirm_keep_supplement_korea_mfds_or_mark_not_public,REC_1053,PLLA skin-booster/biostimulator retained as a Korean regenerative injectable line for skin quality and collagen-stimulation applications.
NEXT-013,REC_1050,WEDERM,POWER COL-TRA,POWER COL-TRA,confirm_keep_supplement_korea_mfds_or_mark_not_public,REC_1050,"PLLA collagen-stimulator retained as a Korean regenerative injectable line for collagen stimulation, wrinkle correction and volume support."
NEXT-015,REC_0883,Medytox,New Biju,Cholic Acid Lipolytic,confirm_keep_supplement_korea_mfds_or_mark_not_public,REC_0883,Deoxycholic-acid/cholic-acid lipolytic injectable product line retained for localized fat reduction and contouring applications.
NEXT-016,REC_0501,Baz Biomedic,NOVAPlus Nozzle,专用无针喷嘴 (Nozzle Kits),delete_duplicate,REC_0500,NOVAPlus Nozzle is an accessory/nozzle kit for the NOVAPlus injector.
NEXT-017,REC_0733,BTL,Vanquish ME,Contactless Fat Reduction,keep_canonical,REC_0733,Use this row as the canonical Vanquish ME line and fold regional wording into it.
NEXT-018,REC_0870,BTL,Vanquish ME,Non-Contact Selective RF,delete_duplicate,REC_0733,Non-Contact Selective RF is another description of BTL Vanquish ME.
NEXT-024,REC_0724,BTL,Unison,BTL Unison,keep_canonical,REC_0724,Use this row as the canonical BTL Unison line.
NEXT-014,REC_0426,Kylane,Kysense,Kysense Body HA filler,exclude_out_of_scope,,Kysense Body HA filler is not retained as an independent upstream product line in this review batch.
NEXT-019,REC_0467,NCRI,Mosquito Needle,Carbon Nanotube Needle,exclude_out_of_scope,,Mosquito Needle / carbon nanotube needle is excluded by user decision in this review batch.
NEXT-020,REC_0216,A.A.M.S.,E-Finger,无针经皮给药系统,exclude_out_of_scope,,E-Finger needle-free transdermal delivery system is excluded by user decision in this review batch.
NEXT-021,REC_0716,Universal IPS,U.IPS,Surgical Implants,exclude_out_of_scope,,"Universal IPS surgical implants are generic orthopedic/dental/surgical implant scope, not aesthetic-dedicated upstream products."
NEXT-025,REC_0600,A.A.M.S.,Rejulight,LED光疗设备,exclude_out_of_scope,,Rejulight LED device is excluded by user decision in this review batch.
NEXT-026,REC_0150,APS,Dalyance,射频 + 超声波,exclude_out_of_scope,,Dalyance RF + ultrasound device is excluded by user decision in this review batch.
NEXT-027,REC_0240,APS,Epil One,半导体脱毛激光,exclude_out_of_scope,,Epil One diode hair-removal device is excluded by user decision in this review batch.
NEXT-028,REC_0626,Cocoon Medical,Safyre,Safyre,exclude_out_of_scope,,Safyre RF device is excluded by user decision in this review batch.
NEXT-029,REC_0431,Daejoo,Medical Cosmetics (ODM),Post-Procedure,exclude_out_of_scope,,Daejoo Medical Cosmetics ODM is broad ODM/service capability without a concrete independent terminal product line.
NEXT-030,REC_0198,Dongbang Medical,Dongbang Needles,Acupuncture,exclude_out_of_scope,,"Dongbang acupuncture needles are TCM/rehabilitation consumables, not aesthetic microneedling products."
NEXT-031,REC_0268,Doum,Fat Transfer Cannulas,Fat Grafting,exclude_out_of_scope,,Doum fat transfer cannulas are hard surgical/liposuction instruments outside the current light-aesthetic upstream scope.
NEXT-032,REC_0344,Doum,Infiltration Pump,Tool,exclude_out_of_scope,,Doum infiltration pump is general liposuction surgery hardware outside the current scope.
NEXT-033,REC_0557,Doum,Power Assisted Liposuction (PAL),Liposuction,exclude_out_of_scope,,Doum PAL liposuction system is large surgical hardware outside the current scope.
NEXT-034,REC_0454,Eclipse,MicroGlide,Post-Procedure,exclude_out_of_scope,,MicroGlide is excluded by user decision in this review batch and is not retained as an injectable filler/product line.
