"action_group","cert_in_global","suggested_next_action","certificate_no","track_name","category","brand","product_name","registrant","origin","approval_date","valid_until","official_status","official_verification_status","official_product_name","official_registrant","official_scope","main_landscape_included","source_url","entity_match_hint","company_profile_text_hint"
"missing_verified_no_entity_hint","no","有官方核验证号，但全球库未明显命中实体；多半是中国本土/细分证号，需判断是否进入全球产品线","国械注准20163130861","透明质酸钠","透明质酸钠","注射用修饰透明质酸钠凝胶","注射用修饰透明质酸钠凝胶","华熙生物科技股份有限公司","国产","2021-05-31","2026-05-30","verified","已官方核验/国家政务服务平台NMPA器械查询","注射用修饰透明质酸钠凝胶","华熙生物科技股份有限公司","该产品用于面部真皮组织中层至深层注射以纠正中重度鼻唇部皱纹。","是","https://mp.weixin.qq.com/s/0NiHLEMxBuJgpZmpo6anKw","","no"
"missing_verified_no_entity_hint","no","有官方核验证号，但全球库未明显命中实体；多半是中国本土/细分证号，需判断是否进入全球产品线","国械注准20163131804","透明质酸钠","透明质酸钠","注射用透明质酸钠复合溶液","注射用透明质酸钠复合溶液","爱美客技术发展股份有限公司","国产","2021-03-19","2026-03-18","verified","已官方核验/国家政务服务平台NMPA器械查询","注射用透明质酸钠复合溶液","爱美客技术发展股份有限公司","该产品用于皮内真皮层注射填充，以纠正颈部中重度皱纹。","是","https://mp.weixin.qq.com/s/0NiHLEMxBuJgpZmpo6anKw","","no"
"missing_verified_no_entity_hint","no","有官方核验证号，但全球库未明显命中实体；多半是中国本土/细分证号，需判断是否进入全球产品线","国械注准20163131809","透明质酸钠","透明质酸钠","医用透明质酸钠-羟丙基甲基纤维素凝胶","医用透明质酸钠-羟丙基甲基纤维素凝胶","爱美客技术发展股份有限公司","国产","2021-02-26","2026-02-25","verified","已官方核验/国家政务服务平台NMPA器械查询","医用透明质酸钠-羟丙基甲基纤维素凝胶","爱美客技术发展股份有限公司","该产品用于皮肤皮下浅层至深层之间的填充,以纠正中重度额部皱纹和中重度鼻唇沟皱纹。","是","https://mp.weixin.qq.com/s/0NiHLEMxBuJgpZmpo6anKw","","no"
"missing_verified_no_entity_hint","no","有官方核验证号，但全球库未明显命中实体；多半是中国本土/细分证号，需判断是否进入全球产品线","国械注准20163132497","透明质酸钠","透明质酸钠","医用含聚乙烯醇凝胶微球的透明质酸钠-羟丙基甲基纤维素凝胶","医用含聚乙烯醇凝胶微球的透明质酸钠-羟丙基甲基纤维素凝胶","爱美客技术发展股份有限公司","国产","2021-03-17","2026-03-16","verified","已官方核验/国家政务服务平台NMPA器械查询","医用含聚乙烯醇凝胶微球的透明质酸钠-羟丙基甲基纤维素凝胶","爱美客技术发展股份有限公司","该产品用于皮肤真皮深层及皮下浅层之间注射填充，以纠正中重度额部皱纹和中重度鼻唇部皱纹。","是","https://mp.weixin.qq.com/s/0NiHLEMxBuJgpZmpo6anKw","","no"
"missing_verified_no_entity_hint","no","有官方核验证号，但全球库未明显命中实体；多半是中国本土/细分证号，需判断是否进入全球产品线","国械注准20173133254","透明质酸钠","透明质酸钠","注射用交联透明质酸钠凝胶","注射用交联透明质酸钠凝胶","山东凯乐普生物工程有限公司","国产","2021-07-15","2026-07-14","verified","已官方核验/国家政务服务平台NMPA器械查询","注射用修饰透明质酸钠凝胶","山东凯乐普生物工程有限公司","该产品适用于面部真皮组织中层至深层注射以纠正中重度鼻唇沟皱褶。","是","https://mp.weixin.qq.com/s/0NiHLEMxBuJgpZmpo6anKw","","no"
"missing_verified_no_entity_hint","no","有官方核验证号，但全球库未明显命中实体；多半是中国本土/细分证号，需判断是否进入全球产品线","国械注准20213130191","透明质酸钠","透明质酸钠","注射用交联透明质酸钠凝胶","注射用交联透明质酸钠凝胶","杭州科腾生物制品有限公司","国产","2021-03-18","2026-03-17","verified","已官方核验/国家政务服务平台NMPA器械查询","注射用交联透明质酸钠凝胶","杭州科腾生物制品有限公司","适用于面部皮肤真皮组织中层至深层注射，以纠正中重度鼻唇沟。","是","https://mp.weixin.qq.com/s/0NiHLEMxBuJgpZmpo6anKw","","no"
"missing_verified_no_entity_hint","no","有官方核验证号，但全球库未明显命中实体；多半是中国本土/细分证号，需判断是否进入全球产品线","国械注许20163130035","透明质酸钠","透明质酸钠","注射用交联透明质酸钠凝胶 Formaderm Dermal Filler Injection","注射用交联透明质酸钠凝胶 Formaderm Dermal Filler Injection","和康生物科技股份有限公司","港澳台","2021-07-02","2026-07-01","verified","已官方核验/国家政务服务平台NMPA器械查询","注射用交联透明质酸钠凝胶Formaderm Dermal Filler Injection","和康生物科技股份有限公司","适用于面部真皮组织中层注射以纠正中重度鼻唇沟皱纹。","是","https://mp.weixin.qq.com/s/0NiHLEMxBuJgpZmpo6anKw","","no"
"not_found_hold","no","暂不入库：registration 项目也标记官方未查到/需复核","国械注进20163130114","透明质酸钠","透明质酸钠","注射用修饰透明质酸钠凝胶","注射用修饰透明质酸钠凝胶","LG Chem, Ltd.","进口","2021-02-18","2026-02-17","not_found","官方未查到/需复核","","","","是","https://mp.weixin.qq.com/s/0NiHLEMxBuJgpZmpo6anKw","Arkana Cosmetics / Neuro GABA & NANA Peels / 神经美容酸/焕肤剂 / 神经美容酸/焕肤剂 || Asterasys / Aqua Peel Tera / 皮肤清洁设备 (Aqua Peel) / 皮肤清洁设备 (Aqua Peel) || Baz Biomedic / AquaClean / AquaClean Mini / 皮肤清洁管理系统 (Aqua Peeling) / 皮肤清洁管理系统 (Aqua Peeling)","yes"
"already_in_global","yes","已在全球库 registration_evidence 中，无需重复导入","国械注进20173135168","透明质酸钠","透明质酸钠","注射用修饰透明质酸钠凝胶 Princess Volume","注射用修饰透明质酸钠凝胶 Princess Volume","克罗玛医药有限公司 CROMA-PHARMA","进口","2021-06-24","2026-06-23","verified","已官方核验/国家政务服务平台NMPA器械查询","注射用修饰透明质酸钠凝胶Princess Volume","克罗玛医药有限公司CROMA-PHARMA GmbH","该产品适用于面部真皮组织中层至深层注射，以纠正鼻唇沟。","是","https://mp.weixin.qq.com/s/0NiHLEMxBuJgpZmpo6anKw","","no"
"already_in_global","yes","已在全球库 registration_evidence 中，无需重复导入","国械注进20213130059","透明质酸钠","透明质酸钠","注射用交联透明质酸钠凝胶 Cross-linked Sodium Hyaluronate Gel for Injection","注射用交联透明质酸钠凝胶 Cross-linked Sodium Hyaluronate Gel for Injection","科医有限公司 Q-Med AB","进口","2021-03-03","2026-03-02","verified","已官方核验/国家政务服务平台NMPA器械查询","注射用交联透明质酸钠凝胶Cross-linked Sodium Hyaluronate Gel for Injection","科医有限公司Q-Med AB","本产品适用于面部真皮组织中层至深层填充以纠正中度至重度鼻唇沟皱纹。适用于注射到骨膜上，填充下颌区域，以改善轻度至中度下颌后缩患者的下颌轮廓。","是","https://mp.weixin.qq.com/s/0NiHLEMxBuJgpZmpo6anKw","","no"
"already_in_global","yes","已在全球库 registration_evidence 中，无需重复导入","国械注进20213130109","透明质酸钠","透明质酸钠","含利多卡因注射用交联透明质酸钠凝胶 Juvéderm VOLBELLA with Lidocaine","含利多卡因注射用交联透明质酸钠凝胶 Juvéderm VOLBELLA with Lidocaine","艾尔建 / AbbVie","进口","2021-04-19","2026-04-18","verified","已官方核验/国家政务服务平台NMPA器械查询","含利多卡因注射用交联透明质酸钠凝胶Juvéderm VOLBELLA with Lidocaine","艾尔建ALLERGAN","该产品通过注射至唇红体和唇红缘的唇粘膜、真皮浅层或中层，以矫正唇部不对称、轮廓畸形和容积缺损等结构缺陷。利多卡因可减轻治疗过程中患者的疼痛。","是","https://mp.weixin.qq.com/s/0NiHLEMxBuJgpZmpo6anKw","","no"
"already_in_global","yes","已在全球库 registration_evidence 中，无需重复导入","国械注进20213130421","透明质酸钠","透明质酸钠","注射用交联透明质酸钠凝胶 Belotero Balance Lidocaine","注射用交联透明质酸钠凝胶 Belotero Balance Lidocaine","安缇思股份公司 Anteis SA","进口","2021-10-21","2026-10-20","verified","已官方核验/国家政务服务平台NMPA器械查询","注射用交联透明质酸钠凝胶Belotero Balance Lidocaine","安缇思股份公司 Anteis SA","产品适用于面部真皮组织中层注射纠正中度鼻唇沟皱纹。","是","https://mp.weixin.qq.com/s/0NiHLEMxBuJgpZmpo6anKw","","no"
"already_in_global","yes","已在全球库 registration_evidence 中，无需重复导入","国械注进20213130485","透明质酸钠","透明质酸钠","含利多卡因注射用交联透明质酸钠凝胶 Juvéderm VOLUMA with Lidocaine","含利多卡因注射用交联透明质酸钠凝胶 Juvéderm VOLUMA with Lidocaine","艾尔建 / AbbVie","进口","2021-11-26","2026-11-25","verified","已官方核验/国家政务服务平台NMPA器械查询","含利多卡因注射用交联透明质酸钠凝胶 Juvéderm VOLUMA with Lidocaine","艾尔建 Allergan","产品适用于面颊部深层（皮下和/或骨膜上）注射，以重塑面部容积；适用于鼻背、鼻小柱和前鼻棘部位骨膜上层（硬骨膜上和/或软骨膜上）注射，以改善外鼻体积及形态。","是","https://mp.weixin.qq.com/s/0NiHLEMxBuJgpZmpo6anKw","","no"
"missing_verified_no_entity_hint","no","有官方核验证号，但全球库未明显命中实体；多半是中国本土/细分证号，需判断是否进入全球产品线","国械注准20173130810","透明质酸钠","透明质酸钠","注射用交联透明质酸钠凝胶","注射用交联透明质酸钠凝胶","上海其胜生物制剂有限公司","国产","2022-02-08","2027-05-21","verified","已官方核验/国家政务服务平台NMPA器械查询","注射用交联透明质酸钠凝胶","上海其胜生物制剂有限公司","该产品适用于面部真皮组织中层至深层注射以纠正中重度鼻唇沟。","是","https://mp.weixin.qq.com/s/0NiHLEMxBuJgpZmpo6anKw","","no"
"missing_verified_no_entity_hint","no","有官方核验证号，但全球库未明显命中实体；多半是中国本土/细分证号，需判断是否进入全球产品线","国械注准20173134379","透明质酸钠","透明质酸钠","医用羟丙基甲基纤维素-透明质酸钠溶液","医用羟丙基甲基纤维素-透明质酸钠溶液","爱美客技术发展股份有限公司","国产","2022-09-02","2027-09-06","verified","已官方核验/国家政务服务平台NMPA器械查询","医用羟丙基甲基纤维素-透明质酸钠溶液","爱美客技术发展股份有限公司","该产品用于皮肤真皮深层至皮下浅层之间注射填充，以纠正额部皱纹和中重度鼻唇部皱纹。","是","https://mp.weixin.qq.com/s/0NiHLEMxBuJgpZmpo6anKw","","no"
"missing_verified_no_entity_hint","no","有官方核验证号，但全球库未明显命中实体；多半是中国本土/细分证号，需判断是否进入全球产品线","国械注准20183130109","透明质酸钠","透明质酸钠","注射用交联透明质酸钠凝胶","注射用交联透明质酸钠凝胶","常州药物研究所有限公司","国产","2022-04-29","2028-03-27","verified","已官方核验/国家政务服务平台NMPA器械查询","注射用交联透明质酸钠凝胶","常州药物研究所有限公司","该产品用于面部真皮组织中层注射以纠正中重度鼻唇部皱纹。","是","https://mp.weixin.qq.com/s/0NiHLEMxBuJgpZmpo6anKw","","no"
"missing_verified_no_entity_hint","no","有官方核验证号，但全球库未明显命中实体；多半是中国本土/细分证号，需判断是否进入全球产品线","国械注准20223130481","透明质酸钠","透明质酸钠","注射用交联透明质酸钠凝胶","注射用交联透明质酸钠凝胶","浙江景嘉医疗科技有限公司","国产","2022-04-12","2027-04-11","verified","已官方核验/国家政务服务平台NMPA器械查询","注射用交联透明质酸钠凝胶","浙江景嘉医疗科技有限公司","该产品用于面部真皮组织中层至深层注射以纠正中重度鼻唇沟皱纹。","是","https://mp.weixin.qq.com/s/0NiHLEMxBuJgpZmpo6anKw","","no"
"missing_verified_no_entity_hint","no","有官方核验证号，但全球库未明显命中实体；多半是中国本土/细分证号，需判断是否进入全球产品线","国械注准20223130516","透明质酸钠","透明质酸钠","注射用交联透明质酸钠凝胶","注射用交联透明质酸钠凝胶","北京凯诺瑞和医疗器械有限公司","国产","2022-04-20","2027-04-19","verified","已官方核验/国家政务服务平台NMPA器械查询","注射用交联透明质酸钠凝胶","北京凯诺瑞和医疗器械有限公司","该产品用于面部真皮组织中层至深层注射以纠正中重度鼻唇沟皱纹。","是","https://mp.weixin.qq.com/s/0NiHLEMxBuJgpZmpo6anKw","","no"
"missing_verified_no_entity_hint","no","有官方核验证号，但全球库未明显命中实体；多半是中国本土/细分证号，需判断是否进入全球产品线","国械注准20223130874","透明质酸钠","透明质酸钠","注射用交联透明质酸钠凝胶","注射用交联透明质酸钠凝胶","武汉医佳宝生物材料有限公司","国产","2022-07-11","2027-07-10","verified","已官方核验/国家政务服务平台NMPA器械查询","注射用交联透明质酸钠凝胶","武汉医佳宝生物材料有限公司","该产品适用于面部真皮组织中层至深层注射以纠正中重度鼻唇沟皱纹。","是","https://mp.weixin.qq.com/s/0NiHLEMxBuJgpZmpo6anKw","","no"
"missing_verified_no_entity_hint","no","有官方核验证号，但全球库未明显命中实体；多半是中国本土/细分证号，需判断是否进入全球产品线","国械注准20223131647","透明质酸钠","透明质酸钠","注射用交联透明质酸钠凝胶","注射用交联透明质酸钠凝胶","华熙生物科技股份有限公司","国产","2022-12-14","2027-12-13","verified","已官方核验/国家政务服务平台NMPA器械查询","注射用交联透明质酸钠凝胶","华熙生物科技股份有限公司","该产品适用于注射到皮下至骨膜上层用于矫正中面部容量缺失和/或中面部轮廓缺陷。","是","https://mp.weixin.qq.com/s/0NiHLEMxBuJgpZmpo6anKw","","no"
"already_in_global","yes","已在全球库 registration_evidence 中，无需重复导入","国械注进20173132005","透明质酸钠","透明质酸钠","注射用修饰透明质酸钠凝胶","注射用修饰透明质酸钠凝胶","LG化学 LG Chem, Ltd.","进口","2022-07-01","2027-06-30","verified","已官方核验/国家政务服务平台NMPA器械查询","注射用修饰透明质酸钠凝胶Modified Sodium Hyaluronate Gel for Injection","俪维美学有限公司 LYV Sciences Co.,Ltd","该产品用于面部真皮组织中层至深层注射，以纠正中重度鼻唇部皱纹。","是","https://mp.weixin.qq.com/s/0NiHLEMxBuJgpZmpo6anKw","","no"
"already_in_global","yes","已在全球库 registration_evidence 中，无需重复导入","国械注进20183131717","透明质酸钠","透明质酸钠","注射用修饰透明质酸钠凝胶 YVOIRE volume s","注射用修饰透明质酸钠凝胶 YVOIRE volume s","LG化学 LG Chem, Ltd.","进口","2022-09-14","2028-02-12","verified","已官方核验/国家政务服务平台NMPA器械查询","注射用修饰透明质酸钠凝胶YVOIRE volume s","俪维美学有限公司 LYV Sciences Co., Ltd","该产品适用于面部真皮组织深层至皮下组织层注射，以纠正重度鼻唇沟皱纹。","是","https://mp.weixin.qq.com/s/0NiHLEMxBuJgpZmpo6anKw","","no"
"already_in_global","yes","已在全球库 registration_evidence 中，无需重复导入","国械注进20223130127","透明质酸钠","透明质酸钠","注射用交联透明质酸钠凝胶","注射用交联透明质酸钠凝胶","东邦医疗 Dong Bang Medical Co., Ltd.","进口","2022-03-02","2027-03-01","verified","已官方核验/国家政务服务平台NMPA器械查询","注射用交联透明质酸钠凝胶조직수복용생체재료","株式会社东方医疗 Dong Bang Medical Co.,Ltd.","该产品适用于面部真皮组织中层至深层注射以纠正中重度鼻唇部皱纹。","是","https://mp.weixin.qq.com/s/0NiHLEMxBuJgpZmpo6anKw","","no"
"not_found_hold","no","暂不入库：registration 项目也标记官方未查到/需复核","国械注进20223130141","透明质酸钠","透明质酸钠","含利多卡因注射用交联透明质酸钠凝胶 Juvéderm VOLUMA with Lidocaine","含利多卡因注射用交联透明质酸钠凝胶 Juvéderm VOLUMA with Lidocaine","艾尔建 / AbbVie","进口","2022-03-10","2027-03-09","not_found","官方未查到/需复核","","","","是","https://mp.weixin.qq.com/s/0NiHLEMxBuJgpZmpo6anKw","Allergan / Kybella / Belkyra / Deoxycholic Acid (脱氧胆酸) / Deoxycholic Acid (脱氧胆酸) || Allergan / CoolTone / Magnetic Muscle Stimulation / Magnetic Muscle Stimulation || Allergan / DiamondGlow / Dermal Infusion System / Dermal Infusion System","yes"
"already_in_global","yes","已在全球库 registration_evidence 中，无需重复导入","国械注进20223130181","透明质酸钠","透明质酸钠","注射用修饰透明质酸钠凝胶 Dermax Deep","注射用修饰透明质酸钠凝胶 Dermax Deep","北京爱思特医疗美容有限公司 / ACROSS CO., LTD.","进口","2022-04-12","2027-04-11","verified","已官方核验/国家政务服务平台NMPA器械查询","注射用修饰透明质酸钠凝胶Dermalax Deep","亚可罗思有限责任公司ACROSS CO., LTD.","适用于面部真皮组织中层注射纠正中重度鼻唇沟皱纹。","是","https://mp.weixin.qq.com/s/0NiHLEMxBuJgpZmpo6anKw","","no"
"missing_verified_no_entity_hint","no","有官方核验证号，但全球库未明显命中实体；多半是中国本土/细分证号，需判断是否进入全球产品线","国械注准20143132037","透明质酸钠","透明质酸钠","注射用修饰透明质酸钠凝胶","注射用修饰透明质酸钠凝胶","华熙生物科技股份有限公司","国产","2023-08-23","2029-09-01","verified","已官方核验/国家政务服务平台NMPA器械查询","注射用修饰透明质酸钠凝胶","华熙生物科技股份有限公司","该产品适用于面部真皮组织中层至深层注射以纠正中重度鼻唇部皱纹。","是","https://mp.weixin.qq.com/s/0NiHLEMxBuJgpZmpo6anKw","","no"
"missing_verified_no_entity_hint","no","有官方核验证号，但全球库未明显命中实体；多半是中国本土/细分证号，需判断是否进入全球产品线","国械注准20153130014","透明质酸钠","透明质酸钠","注射用交联透明质酸钠凝胶","注射用交联透明质酸钠凝胶","北京蒙博润生物科技有限公司","国产","2023-12-21","2029-06-23","verified","已官方核验/国家政务服务平台NMPA器械查询","注射用交联透明质酸钠凝胶","北京蒙博润生物科技有限公司","该产品用于面部真皮组织中层至深层注射以纠正中重度鼻唇沟皱纹。","是","https://mp.weixin.qq.com/s/0NiHLEMxBuJgpZmpo6anKw","","no"
"missing_verified_no_entity_hint","no","有官方核验证号，但全球库未明显命中实体；多半是中国本土/细分证号，需判断是否进入全球产品线","国械注准20193130257","透明质酸钠","透明质酸钠","注射用修饰透明质酸钠凝胶","注射用修饰透明质酸钠凝胶","华熙生物科技股份有限公司","国产","2023-09-01","2029-04-27","verified","已官方核验/国家政务服务平台NMPA器械查询","注射用修饰透明质酸钠凝胶","华熙生物科技股份有限公司","该产品用于面部真皮组织中层至深层注射以纠正中重度鼻唇部皱纹。","是","https://mp.weixin.qq.com/s/0NiHLEMxBuJgpZmpo6anKw","","no"
"missing_verified_no_entity_hint","no","有官方核验证号，但全球库未明显命中实体；多半是中国本土/细分证号，需判断是否进入全球产品线","国械注准20233131478","透明质酸钠","透明质酸钠","注射用交联透明质酸钠凝胶","注射用交联透明质酸钠凝胶","华熙生物科技股份有限公司","国产","2023-10-12","2028-10-11","verified","已官方核验/国家政务服务平台NMPA器械查询","注射用交联透明质酸钠凝胶","华熙生物科技股份有限公司","该产品通过注射于唇红缘及唇红体的皮下（或粘膜下）至口轮匝肌层，以增加唇部组织容积。","是","https://mp.weixin.qq.com/s/0NiHLEMxBuJgpZmpo6anKw","","no"
"missing_verified_no_entity_hint","no","有官方核验证号，但全球库未明显命中实体；多半是中国本土/细分证号，需判断是否进入全球产品线","国械注准20233131516","透明质酸钠","透明质酸钠","注射用交联透明质酸钠凝胶","注射用交联透明质酸钠凝胶","陕西佰傲再生医学有限公司","国产","2023-10-23","2028-10-22","verified","已官方核验/国家政务服务平台NMPA器械查询","注射用交联透明质酸钠凝胶","陕西佰傲再生医学有限公司","该产品适用于面部真皮组织中层至深层注射填充以纠正中重度鼻唇部皱纹。","是","https://mp.weixin.qq.com/s/0NiHLEMxBuJgpZmpo6anKw","","no"
"missing_verified_existing_entity_hint","no","有官方核验证号，且全球库可能已有相关公司/品牌；建议优先逐条匹配后补 CN-NMPA 证据","国械注许20183130062","透明质酸钠","透明质酸钠","注射用修饰透明质酸钠凝胶","注射用修饰透明质酸钠凝胶","科妍生物科技股份有限公司","港澳台","2023-01-17","2028-02-12","verified","已官方核验/国家政务服务平台NMPA器械查询","注射用修饰透明质酸钠凝胶Modified Sodium Hyaluronate Gel for Injection","科妍生物科技股份有限公司","该产品适用于面部真皮组织中层至深层注射以纠正中度或深度鼻唇沟。","是","https://mp.weixin.qq.com/s/0NiHLEMxBuJgpZmpo6anKw","CGBIO / Cell Growth Bio / CGBIO HA Filler / CGBIO NMPA HA filler (mid-to-deep dermis) / CGBIO NMPA HA filler (mid-to-deep dermis) || CGBIO / Cell Growth Bio / CGBIO HA Filler / CGBIO NMPA HA filler (deep dermis/subcutaneous) / CGBIO NMPA HA filler (deep dermis/subcutaneous)","no"
"already_in_global","yes","已在全球库 registration_evidence 中，无需重复导入","国械注进20153131709","透明质酸钠","透明质酸钠","注射用交联透明质酸钠凝胶 Juvéderm ULTRA","注射用交联透明质酸钠凝胶 Juvéderm ULTRA","艾尔建 / AbbVie","进口","2023-12-28","2030-03-03","verified","已官方核验/国家政务服务平台NMPA器械查询","注射用交联透明质酸钠凝胶Juvéderm ULTRA","艾尔建Allergan","该产品适用于面部真皮组织中层至深层注射，以纠正中度鼻唇沟皱纹。","是","https://mp.weixin.qq.com/s/0NiHLEMxBuJgpZmpo6anKw","","no"
"already_in_global","yes","已在全球库 registration_evidence 中，无需重复导入","国械注进20173136998","透明质酸钠","透明质酸钠","注射用修饰透明质酸钠凝胶","注射用修饰透明质酸钠凝胶","科医有限公司 Q-Med AB","进口","2023-03-23","2028-03-22","verified","已官方核验/国家政务服务平台NMPA器械查询","注射用修饰透明质酸钠凝胶Modified Sodium Hyaluronate Gel for Injection","科医有限公司Q-Med AB","该产品适用于面部真皮组织中层填充以纠正中重度鼻唇沟皱纹。","是","https://mp.weixin.qq.com/s/0NiHLEMxBuJgpZmpo6anKw","","no"
"already_in_global","yes","已在全球库 registration_evidence 中，无需重复导入","国械注进20183130227","透明质酸钠","透明质酸钠","注射用修饰透明质酸钠凝胶 Modified Sodium Hyaluronate Gel for Injection","注射用修饰透明质酸钠凝胶 Modified Sodium Hyaluronate Gel for Injection","科医有限公司 Q-Med AB","进口","2023-04-12","2028-06-24","verified","已官方核验/国家政务服务平台NMPA器械查询","注射用修饰透明质酸钠凝胶Modified Sodium Hyaluronate Gel for Injection","科医有限公司Q-Med AB","该产品适用于纠正中到重度鼻唇沟皱纹以及鼻背和/或鼻根塑形。纠正中到重度鼻唇沟皱纹时，应注射入面部真皮组织深层和/或皮下组织浅层。用于鼻背和/或鼻根塑形时，应注射入骨膜上层。","是","https://mp.weixin.qq.com/s/0NiHLEMxBuJgpZmpo6anKw","","no"
"already_in_global","yes","已在全球库 registration_evidence 中，无需重复导入","国械注进20193130095","透明质酸钠","透明质酸钠","注射用交联透明质酸钠凝胶","注射用交联透明质酸钠凝胶","细基生物株式会社 CG Bio Co., Ltd.","进口","2023-10-12","2029-03-12","verified","已官方核验/国家政务服务平台NMPA器械查询","注射用交联透明质酸钠凝胶Cross-linked sodium hyaluronate Gel for Injection","细基生物株式会社CG Bio Co., Ltd.","该产品用于面部真皮组织中层至深层注射以纠正中重度鼻唇沟皱纹。","是","https://mp.weixin.qq.com/s/0NiHLEMxBuJgpZmpo6anKw","","no"
"already_in_global","yes","已在全球库 registration_evidence 中，无需重复导入","国械注进20193130627","透明质酸钠","透明质酸钠","注射用修饰透明质酸钠凝胶 MONALISA Lidocaine Filler","注射用修饰透明质酸钠凝胶 MONALISA Lidocaine Filler","吉诺斯株式会社 Genoss Co., Ltd.","进口","2023-12-26","2029-12-11","verified","已官方核验/国家政务服务平台NMPA器械查询","注射用修饰透明质酸钠凝胶 MONALISA Lidocaine Filler","吉诺斯株式会社Genoss Co., Ltd.","该产品用于面部真皮组织中层及深层注射，以纠正中重度鼻唇沟皱纹。","是","https://mp.weixin.qq.com/s/0NiHLEMxBuJgpZmpo6anKw","","no"
"already_in_global","yes","已在全球库 registration_evidence 中，无需重复导入","国械注进20223130501","透明质酸钠","透明质酸钠","注射用交联透明质酸钠凝胶","注射用交联透明质酸钠凝胶","细基生物株式会社 CG Bio Co., Ltd.","进口","2023-01-31","2027-10-24","verified","已官方核验/国家政务服务平台NMPA器械查询","注射用交联透明质酸钠凝胶Cross-linked Sodium Hyaluronate Gel for Injection","细基生物株式会社CG Bio Co., Ltd.","该产品用于面部真皮组织深层至皮下组织层注射填充以纠正中重度鼻唇沟皱纹。","是","https://mp.weixin.qq.com/s/0NiHLEMxBuJgpZmpo6anKw","","no"
"already_in_global","yes","已在全球库 registration_evidence 中，无需重复导入","国械注进20233130009","透明质酸钠","透明质酸钠","注射用交联透明质酸钠凝胶 Belotero Volume Lidocaine","注射用交联透明质酸钠凝胶 Belotero Volume Lidocaine","安缇思股份公司 Anteis SA","进口","2023-03-27","2028-01-12","verified","已官方核验/国家政务服务平台NMPA器械查询","注射用交联透明质酸钠凝胶Belotero Volume Lidocaine","安缇思股份公司Anteis SA","该产品预期用于面部真皮组织深层或皮下注射以纠正重度鼻唇沟皱纹。利多卡因可减轻治疗过程中患者的疼痛。","是","https://mp.weixin.qq.com/s/0NiHLEMxBuJgpZmpo6anKw","","no"
"already_in_global","yes","已在全球库 registration_evidence 中，无需重复导入","国械注进20233130011","透明质酸钠","透明质酸钠","注射用交联透明质酸钠凝胶 Restylane Volume","注射用交联透明质酸钠凝胶 Restylane Volume","科医有限公司 Q-Med AB","进口","2023-01-13","2028-01-12","verified","已官方核验/国家政务服务平台NMPA器械查询","注射用交联透明质酸钠凝胶Restylane Volyme","科医有限公司Q-Med AB","本产品用于矫正中面部容量缺失和/或中面部轮廓缺陷，注射层次为皮下、骨膜上层。","是","https://mp.weixin.qq.com/s/0NiHLEMxBuJgpZmpo6anKw","","no"
"already_in_global","yes","已在全球库 registration_evidence 中，无需重复导入","国械注进20233130068","透明质酸钠","透明质酸钠","注射用交联透明质酸钠凝胶 MONALISA Lidocaine Filler","注射用交联透明质酸钠凝胶 MONALISA Lidocaine Filler","吉诺斯株式会社 GENOSS Co., Ltd.","进口","2023-03-07","2028-03-06","verified","已官方核验/国家政务服务平台NMPA器械查询","注射用交联透明质酸钠凝胶MONALISA Lidocaine Filler(조직수복용생체재료)","吉诺斯株式会社GENOSS Co., Ltd.","该产品用于面部真皮组织中层至深层注射以纠正中重度鼻唇沟皱纹。","是","https://mp.weixin.qq.com/s/0NiHLEMxBuJgpZmpo6anKw","","no"
